bees,plants,repeat,total_trips,total_pollen_collected,avg_distance_per_bee,avg_trips_per_bee,total_plant_visits,plants_visited,visitation_rate,avg_pollen_level,pollen_per_distance,pollen_per_bee_per_step
60,25,6,31,1565.0,2176.4604920930396,0.5166666666666667,53,20,0.8,0.37400000000000005,0.011984289826575139,0.026083333333333333
60,25,7,43,1880.0,2068.535105304753,0.7166666666666667,67,22,0.88,0.24800000000000005,0.015147595635664621,0.03133333333333333
60,25,8,25,1365.0,2018.360800860268,0.4166666666666667,46,18,0.72,0.45399999999999996,0.011271522906263078,0.02275
60,25,9,24,1095.0,2139.801510339457,0.4,37,15,0.6,0.562,0.008528828450590649,0.01825
70,25,0,18,950.0,2147.616724153321,0.2571428571428571,32,13,0.52,0.62,0.006319297302352211,0.013571428571428571
70,25,1,40,1850.0,2122.5211601898777,0.5714285714285714,62,21,0.84,0.26,0.012451499624252117,0.02642857142857143
70,25,2,33,1700.0,2134.4537654433743,0.4714285714285714,59,21,0.84,0.32,0.011377952841564405,0.024285714285714285
70,25,3,47,2125.0,2149.3581199540795,0.6714285714285714,73,22,0.88,0.15,0.014123817978639796,0.030357142857142857
70,25,4,44,2025.0,2090.531204955309,0.6285714285714286,70,23,0.92,0.19,0.013837904624432459,0.02892857142857143
70,25,5,24,1445.0,2157.7510935729056,0.34285714285714286,48,20,0.8,0.42200000000000004,0.009566838920552106,0.020642857142857143
70,25,6,40,1840.0,2069.6591142093635,0.5714285714285714,65,20,0.8,0.264,0.012700504206344033,0.026285714285714287
70,25,7,31,1580.0,2264.157302252235,0.44285714285714284,54,18,0.72,0.368,0.00996901962110848,0.022571428571428572
70,25,8,28,1555.0,2083.1362448365994,0.4,52,18,0.72,0.37799999999999995,0.01066386597100767,0.022214285714285714
70,25,9,28,1460.0,2064.7601934363024,0.4,49,19,0.76,0.41600000000000004,0.010101484387119601,0.02085714285714286
80,25,0,40,2050.0,2049.352780330915,0.5,71,24,0.96,0.18,0.012503947707754962,0.025625
